tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
2504,Echo Amber ( Altbier ),Echo Brewpub & Pizzeria,American Amber / Red Ale,5.20 %,275,Goldstone Old Charmer,Goldstone,Golden Ale/Blond Ale,4.10 %,0
61,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %,2710,Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 %,1
401,Leavenworth Oktoberfest Celebration Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.50 %,1818,Deschutes Fadeaway Amber Ale,Deschutes Brewery,Amber Ale,6.50 %,0
53,Pursuit Of Hoppiness,Grand Teton Brewing Co. .,American Amber / Red Ale,8.50 %,867,7venth Sun Ruby Red Overhead IPA,7venth Sun Brewery,India Pale Ale &#40; IPA &#41;,6.30 %,0
1522,Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,467,Coopers Cave Radeau Red Ale,Coopers Cave Ale Company,Irish Ale,-,1
2071,Arlington Amber Ale,The Brewer 's Cabinet,American Amber / Red Ale,6.40 %,65,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,-,0
1032,Roll Cage Red,Motorworks Brewing,American Amber / Red Ale,6.50 %,2959,Frankenmuth Old Detroit Amber Ale,Frankenmuth Brewery,Amber Ale,-,0
1203,Glutenberg 8,Brasseurs Sans Gluten,American Amber / Red Ale,5.00 %,2810,Texas Ale Project Fire Ant Funeral,Texas Ale Project,Amber Ale,6 %,0
2514,Archtop Amber,12 String Brewing Company,American Amber / Red Ale,5.50 %,1325,Berthoud Switch Track Amber,Berthoud Brewing Company,Amber Ale,5.50 %,0
3269,Main Seidla Amber Spezial,Brauhaus Binkert GmbH & Co. . KG,American Amber / Red Ale,5.90 %,1767,Siren Liquid Mistress,Siren,Amber Ale,5.80 %,0
42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %,2542,Acadian Farms India Red Ale &#40; IRA &#41;,Acadian Farms & Brewery,India Pale Ale &#40; IPA &#41;,6.90 %,0
1945,Lowland Glen Amber ( Marks & Spencer ),Harviestoun Brewery Ltd. .,American Amber / Red Ale,5.10 %,1275,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,Amber Ale,4.80 %,0
1440,First Flight Amber Ale,Flyers Restaurant And Brewery,American Amber / Red Ale,4.50 %,2972,GoodLife Redside India Red Ale,GoodLife Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,0
3382,Red Earl Ruby Ale,Pokertree Brewing Co,American Amber / Red Ale,5.50 %,1468,Charleston Brewing Forever Amber,Charleston Brewing Company &#40; WV &#41;,Amber Ale,5.60 %,0
1393,Hop Test # 1 ( Ginger Red Ale ),Al 's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,7.80 %,1852,Dieu du Ciel Clef des Champs,Dieu du Ciel,Traditional Ale,5 %,0
4104,Kickin ' Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,American Barleywine,12.00 %,2356,Black Raven Old Birdbrain Barleywine,Black Raven Brewing,Barley Wine,12.20 %,0
666,Boot Tread,Brouwerij Martens NV,American Amber / Red Ale,5.00 %,2030,Bressene,Brasserie Grain d_Orge,Belgian Strong Ale,8 %,0
2175,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,996,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,1
1922,Amarillo Amber Ale,4 Noses Brewing Company,American Amber / Red Ale,6.30 %,647,Breakside Hoppy Amber,Breakside Brewery,Amber Ale,4.70 %,0
489,Yebisu Kohaku,Sapporo Breweries Ltd. .,American Amber / Red Ale,5.50 %,1739,Rock Bottom Chicago My-O-My Amber Rye,Rock Bottom Chicago,Specialty Grain,5.50 %,0
1897,Devil 's Path,El Segundo Brewing Company,American Amber / Red Ale,8.90 %,206,Imperial Oak Roil Red,Imperial Oak Brewing,Amber Ale,6.20 %,0
4267,Captain Swing,Hopfenstark,American Barleywine,9.00 %,525,BS Brewing College Chronic,BS Brewing,American Strong Ale,7.50 %,0
3067,The Crimson,RemmarlÃ ¶ v GÃ ¥ rdsbryggeri,American Amber / Red Ale,5.60 %,1064,10 Barrel Rude Boy Rye,10 Barrel Brewing &#40; AB InBev &#41;,Specialty Grain,4.90 %,0
1966,Juldricka,Dugges Ale - & Porterbryggeri AB,American Amber / Red Ale,5.50 %,2072,Amsterdam Session Stout,Amsterdam Brewing Company,Stout,5 %,0
1143,Southern Delight,Coastal Empire Beer Co. .,American Amber / Red Ale,7.60 %,1687,Lighthouse Race Rocks Ale,Lighthouse Brewing &#40; Canada &#41;,Amber Ale,5.20 %,0
27,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00 %,626,Alandale Unfiltered Wheat,Kirkwood Station Brewing Company,German Hefeweizen,-,0
1505,A Precarious Proposal,Timeless Pints Brewing Company,American Amber / Red Ale,5.20 %,515,Loowit Two-Sixteen Red Ale,Loowit Brewing Company,Amber Ale,-,0
2357,Scary Monster,Black Market Brewing Co. .,American Amber / Red Ale,8.50 %,401,Sun King Bring The Hops,Sun King Brewing Company,India Pale Ale &#40; IPA &#41;,7 %,0
3597,Amberdelic,The Damascus Brewery,American Amber / Red Ale,4.80 %,26,Blue Elephant Red Devil,Blue Elephant Craft Brew House,Amber Ale,5.10 %,0
1703,Dry Hopped G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,1741,Free State The Vortex Red,Free State Brewing Company,Amber Ale,6.10 %,0
786,Rowdy Dick Amber,Engine House No. 9,American Amber / Red Ale,-,1416,Cool Springs MorningWood Red Ale,Cool Springs Brewing Company,Amber Ale,-,0
2867,Red Curry Ale,Hideout Brewing Company,American Amber / Red Ale,5.50 %,1493,Hideout Red Curry Ale,The Hideout Brewing Company,Amber Ale,-,1
1751,Diable,La Diable,American Amber / Red Ale,4.00 %,1186,Get Well Amarillo Sunrise Amber Ale,Get Well,Amber Ale,-,0
